번호,관리번호,지정일자,해제일자,운영상태,시설명,시설구분,도로명전체주소,소재지전체주소,도로명우편번호,시설위치(지상/지하),시설면적(㎡),최대수용인원,최종수정시점,데이터갱신구분,데이터갱신일자,위도(도),위도(분),위도(초),경도(도),경도(분),경도(초),위도(EPSG4326),경도(EPSG4326),좌표정보(X),좌표정보(Y)
7406,3660000-S201000001,2010-03-22,,사용중,둔산1동 시청역 대합실 지하 1층,공공용시설,대전광역시 서구 둔산중로 지하 55,대전광역시 서구 둔산동 1408번지 1호,35239,지하,2862,3469,2023-07-07 10:36,I,2023-07-28 1:14,36,21,5.07,127,23,12.18,36.35134971,127.3867239,989836.1673,1817110.353
7407,3660000-S201000002,2010-03-22,,사용중,용문동 용문역 지하1층(지하철역사),공공용시설,"대전광역시 서구 계룡로 지하644, 용문역 (용문동)",대전광역시 서구 용문동 262 용문역,35300,지하,7773,9421,2023-07-07 15:38,I,2023-07-28 1:14,36,20,17.78,127,23,35.81,36.33847999,127.3928765,990386.6396,1815682.2
7408,3660000-S201000003,2010-03-22,,사용중,갈마1동 갈마역 지하1층(지하철역사),공공용시설,대전광역시 서구 한밭대로 지하 666,대전광역시 서구 갈마동 1462번지,35218,지하,5689,6895,2023-07-18 10:43,I,2023-07-28 1:14,36,21,27.94,127,22,22.37,36.35779178,127.3729772,988603.674,1817826.448
7409,3660000-S201000005,2010-03-23,,사용중,둔산2동 정부청사역(지하철역사) 지하1층~2층,공공용시설,"대전광역시 서구 한밭대로 지하 744 (둔산동, 정부청사역 )",대전광역시 서구 둔산동 1515번지 1호,35232,지하,8502,10305,2024-01-26 10:08,U,2024-01-28 2:40,36,21,27.79,127,22,52.73,36.35768348,127.3813662,989356.3048,1817813.479
7410,3660000-S201000007,2010-03-22,,사용중,탄방동 탄방역(지하철역사) 대합실 지하 1층,공공용시설,대전광역시 서구 문정로48번길 지하 19-0,대전광역시 서구 탄방동 1449번지,35262,지하,6193.64,7507,2023-07-07 9:40,I,2023-07-28 1:14,36,20,44.48,127,23,4.36,36.3457672,127.3845913,989644.0801,1816491.36
7411,3660000-S201000008,2010-06-16,,사용중,기성동 사랑샘 실버타운 지하 1층,공공용시설,대전광역시 서구 금평6길 10,대전광역시 서구 흑석동 932번지,35426,지하,298.68,362,2023-06-12 11:04,I,2023-07-28 1:14,36,15,8.87,127,20,27.44,36.25243575,127.3409975,985715.2863,1806144.56
7412,3660000-S201000009,2010-12-06,,사용중,도안동 수목토아파트 지하주차장 1층,공공용시설,대전광역시 서구 도안동로 177,대전광역시 서구 도안동 1364번지,35355,지하,64388.88,78047,2024-02-06 12:21,U,2024-02-08 2:40,36,19,14.88,127,20,44.82,36.32079888,127.3457823,986157.2303,1813726.708
7415,3660000-S201000013,2010-12-08,,사용중,탄방동 한우리아파트 108동 지하주차장 1층,공공용시설,대전광역시 서구 문정로90번길 60 (탄방동),대전광역시 서구 탄방동 765번지,35263,지하,1024.25,1241,2023-07-07 9:41,I,2023-07-28 1:14,36,20,39.23,127,23,19.2,36.34422978,127.388667,990009.6061,1816320.4
7416,3660000-S201000015,2010-12-14,,사용중,갈마1동 대전일보 지하1층 주차장,공공용시설,"대전광역시 서구 계룡로 314 (갈마동, 대전일보사)",대전광역시 서구 갈마동 274번지 7호,35275,지하,2177,2638,2023-07-18 10:43,I,2023-07-28 1:14,36,21,12.73,127,21,50.3,36.35353721,127.3639717,987795.0465,1817355.626
7417,3660000-S201000017,2010-12-14,,사용중,변동 동기포에버아파트 전체 동의 지하주차장 1층,공공용시설,대전광역시 서구 도마로57번길 42 (동기 포에버 아파트),대전광역시 서구 변동 59번지 1호,35322,지하,7590,9200,2023-07-11 17:40,I,2023-07-28 1:14,36,19,27.99,127,22,37.02,36.32415108,127.3768046,988942.3034,1814094.543
